sighted,reported,city,state,duration
19950315,19950315,"Jefferson City","MO",6 sec.
19951028,19951028,"Greenwood","CA",3 hrs.
19950130,19950131,"Olympia","WA",
19950825,19950824,"Greensburg","PA",
19951103,19951106,"Albany","NY",3 nights
19950216,19950217,"Des Plaines","IL",
19950421,19950422,"Oregon","IL",60 sec.
19951001,19951002,"Austin","TX",90 min.
19950519,19950519,"W. Salem","OR",20 min.
19950324,19950324,"Las Vegas","NV",
19950918,19950918,"Kansas City","KS",
19950130,19950130,"Harrisburg","PA",
19950603,19950603,"Gardendale","LA",
19950625,19950626,"Batesburg","SC",50 sec.
19950818,19950818,"Salt Lake City","UT",25 min.
19950528,19950528,"Bellevue","WA",2 sec.
19951110,19951110,"Beaverton","OR",40 min.
19950419,19950419,"Augusta","ME",
19950918,19950918,"N. Kingston","RI",90 min.
19950808,19950808,"Portland","OR",10 sec.
19950312,19950313,"Leavenworth","KS",3 hrs.
19950215,19950215,"Nashville","TN",10 sec.
19950826,19950826,"Auburn","WA",5 min.
19950609,19950613,"Pacific Ocean,",1 min.
19950329,19950401,"Elma","WA",
19950220,19950220,"Albuquerque","NM",
19951013,19951013,"Tacoma","WA",3 min.
19950319,19950320,"Patricia","TX",
19950731,19950801,"Trenton","NJ",
19951031,19951031,"Startup","WA",4 min.
19950604,19950605,"Addison","TX",
19950822,19950822,"Fontana","CA",10 min.
19941231,19950105,"Fontana","CA",10 min.
19950828,19950828,"Mass City","MI",4 sec.
19950806,19950807,"Redwood","CA",45 min.
19950308,19950308,"Lake Jackson","TX",
19951101,19951101,"Sedro Woolley","WA",30 min.
19950311,19950311,"Las Vegas","NV",
19950529,19950609,"Auburn","WA",4 sec.
19950930,19951002,"N. Providence","RI",
19950325,19950325,"Redmond","WA",5 min.
19950325,19950326,"Grover Beach","CA",
19950914,19950914,"Clairton","PA",10 min.
19950521,19950522,"Woburn","MA",
19950722,19950722,"Redding","CA",20 min.
19950419,19950626,"Pembrook Pines","FL",10 sec.
19950910,19950910,"Las Vegas","NV",8 min.
19950515,19950516,"Portland","OR",5 min.
19950924,19950924,"Lynnwood","WA",
19950527,19950528,"Arlington","WA",2 sec.
19950826,19950827,"Dade County","FL",
19950804,19950808,"Hazel Dell","WA",90 sec.
19950812,19950812,"Bellevue","WA",30 min.
19950925,19950926,"Salt Lake City","UT",8 sec.
19950905,19950905,"Boise","ID",30 min.
19950131,19950131,"Mason","MI",3 min.
19940726,19950509,"Boring","OR",
19951019,19951031,"Rocky Point","WA",1 min.
19950919,19950921,"Humbolt","CA",
19950827,19950828,"Oregon City","OR",30 sec.
19951014,19951014,"Madison","WI",6 min.
19950728,19950729,"Seattle","WA",5 min.
19940512,19950124,"Mitchell","OR",2 sec.
19950804,19950817,"Shelton","WA",1-2 sec.
19950524,19950524,"East Aurora","IL",
19950304,19950404,"Folsom","NJ",3 sec.
19951117,19951118,"Basking Ridge","NJ",4 sec.
19950218,19950222,"Kalamazoo","MI",
19951017,19951018,"Crescent City","CA",5 min.
19950330,19950330,"Eugene","OR",
19940713,19950508,"Canby","OR",
19950329,19950921,"Rainsville","AL",
19950315,19950317,"Litchfield","IL",
19951030,19951031,"Seattle","WA",30 min.
19950814,19950814,"Tacoma","WA",5 min.
19950811,19950811,"Sacramento","CA",2 min.
19950813,19950814,"Ft. Dick","CA",
19951106,19951106,"Lebanon","OR",5 min.
19950207,19950207,"Tidewater","OR",
19950913,19950912,"Superior","AZ",30 min.
19950209,19950209,"Huntington Beach","CA",
19950831,19950921,"Randolph","NJ",2 min.
19950204,19950206,"Lynnwood","WA",
19950221,19950221,"Lynnwood","WA",10 sec.
19950209,19950220,"Vancouver","WA",
19950315,19950315,"Grain Valley","MO",10 min.
19950903,19950905,"Virginia Beach","VA",40 min.
19950807,19950807,"Bakersfield","CA",90 min.
19951015,19951017,"Godfrey","IL",40 min
19951014,19951017,"Abilene","KS",
19950715,19950715,"Auburn","WA",1 min.
19950703,19950823,"Inspiration Pt.","CA",30 sec.
19951119,19951119,"Carson City","NV",2 sec.
19950529,19950611,"Jamestown","CA",4 sec.
19950327,19950410,"Florence","OR",15 min.
19950228,19950228,"Electric City","WA",
19950307,19950309,"Portland","OR",
19950825,19950824,"Edinboro","PA",20 sec.
19951117,19951117,"Simsbury","CT",2 sec.
19951107,19951108,"Rockland","CA",
19951103,19951103,"West Seattle","WA",
19950416,19950417,"Medford","MA",10 sec.
19950311,19950312,"Chesapeake","VA",5 min.
19790801,19950603,"Twenty Nine Palms","CA",
19950410,19950412,"Apple Valley","CA",3 min.
19950208,19950208,"North Bend","WA",105 min
19950217,19950217,"Seatac","WA",
19951019,19951019,"Beaverton","OR",45 sec.
19950307,19950326,"Bellevue","WA",15 sec.
19950422,19950422,"Oregon City","OR",1 hr.
19951117,19951117,"Seymour-Johnson AFB","NC",
19950329,19950330,"Ventura","CA",45 sec.
19950611,19950612,"Cleburne","TX",6 min.
19951111,19951111,"Eugene","OR",10 min.
19950315,19950316,"Collinsville","IL",
19950526,19950529,"Vinton","LA",10 sec.
19941231,19950101,"Orem","UT",5 min.
19950823,19950828,"Upland","CA",
19950414,19950417,"Boston","MA",
19950825,19950824,"Adamsville","PA",10 sec.
19950719,19950719,"Sacramento","CA",5 min.
19950416,19950416,"Carrollton","GA",
19950204,19950204,"Prescott","AZ",
19950703,19950702,"Glendale","AZ",
19950120,19950120,"Branford","CT",5 sec.
19951027,19951027,"Prince of Wales Island","AK",2 min.
19951117,19951117,"Yarmouth","ME",5 sec.
19950925,19950926,"Flushing","MI",2 min.
19950108,19950120,"Enterprise","MS",15 min.
19950624,19950719,"Sibley County","MN",5 min.
19950424,19950424,"Beaver Creek","OR",30 min.
19950815,19950817,"Fife","WA",3 sec.
19950820,19950821,"Shapleigh","ME",
19950727,19950802,"Rochester","NY",10 min.
19950323,19950323,"Flint","MI",
19950707,19950708,"Aurora","IL",
19950513,19950516,"Neah Bay","WA",2 hrs.
19951117,19951117,"Seattle","WA",20 min.
19950212,19950304,"Gustavus","AK",5 min.
19950918,19950918,"Alturas","CA",
19950412,19950712,"Richmond","VA",
19950821,19950821,"Olathe","KS",30 sec.
19950611,19950611,"Downey","CA",1 hr.
19950915,19951009,"New York City","NY",18 min.
19950725,19950730,"Marion","SD",4 min.
19950215,19950220,"Liberal","KS",8 sec.
19950323,19950323,"Lake Havasu","AZ",30 min.
19950416,19950416,"Woodinville","WA",45 sec.
19950405,19950405,"Bakersfield","CA",1 hr.
19951117,19951118,"Seattle","WA",3 hrs.
19950612,19950612,"San Francisco","CA",30 min.
19950414,19950417,"Tacoma","WA",
19950208,19950208,"Renton","WA",
19950122,19950125,"Tonasket","WA",10 min.
19950621,19950808,"Oregon City","OR",90 min.
19950224,19950225,"Mercer Island","WA",30 MIN.
19940409,19950113,"Grosse Point","MI",
19950921,19950923,"Concordia","KS",
19950207,19950224,"Renton","WA",
19950826,19950827,"Salida","CO",30 min.
19950730,19950730,"San Fernando","CA",30 min.
19950323,19950601,"Hwy. 18","WA",10 min.
19950919,19950919,"Stanford","CA",1 min.
19950219,19950220,"Mountlake Terrace (Seattle)","WA",4 sec.
19950322,19950324,"Everett","WA",
19950813,19950814,"Gig Harbor","WA",15 min
19950815,19950816,"Crescent City","CA",2 sec.
19950823,19950823,"Anaheim","CA",3 min.
19950419,19950419,"New Smyrna Beach","FL",10 sec.
19950808,19950809,"Tucson","AZ",30 min.
19950828,19950828,"Castle Rock","CO",10 min.
19950422,19950423,"Portland","OR",
19950816,19950817,"Sumner","WA",
19951014,19951016,"Spokane","WA",20 sec.
19950922,19950922,"Redmond","WA",
19950719,19950718,"Birmingham","AL",2 min.
19950507,19950507,"Massillon","OH",
19950806,19950807,"Kalamazoo","MI",5 min.
19950909,19950909,"Lake Oswego","OR",
19951014,19951014,"Des Moines","WA",2 min.
19950107,19950113,"Makapiu Point","HI",30 min.
19950401,19950403,"Costa Mesa","CA",
19950218,19950220,"Vantage","WA",
19950222,19950224,"Auburn","WA",45 min.
19950413,19950413,"West Memphis","TN",5 sec.
19950816,19950817,"Williston","VT",
19950924,19950924,"Scappoose","OR",3 min.
19950719,19950719,"Pacific","WA",8 min.
19950813,19950813,"Martinez","CA",1 min.
19951117,19951117,"Tacoma","WA",
19951023,19951024,"Johnson City","TN",15 min.
19950602,19950606,"Hillsboro","OR",
19941213,19950203,"Murphy","NC",
19951011,19951011,"Huntington","WV",2 min.
19950915,19950915,"Seattle","WA",3 hrs.
19950813,19950813,"Putman","CT",60 sec.
19950614,19950614,"Ann Arbor","MI",2 min.
19950115,19950115,"McKinleyville","CA",45 min.
19950729,19950729,"Parshallville","MI",4 sec.
19950503,19950503,"Reno","NV",10 min.
19941231,19950106,"Gig Harbor","WA",12 min.
19941224,19950115,"Seattle","WA",20 sec.
19951031,19951031,"Tacoma","WA",4 sec.
19950109,19950111,"Memphis","TN",
19950512,19950513,"Duarte","CA",3 min.
19941115,19950223,"Mountain City","TN",20min.
19950825,19950828,"Breezewood","PA",5 sec.
19950101,19950220,"Pacific Grove","CA",
19950911,19950912,"New London","CT",3 sec.
19950319,19950320,"Mobile","AL",45 sec.
19950610,19950829,"El Paso","TX",15 sec.
19950727,19950727,"Belleville","IL",12 min.
19950418,19950419,"Gilbertsville","PA",10 min.
19950311,19950312,"Show Low","AZ",
19950720,19950723,"Renton","WA",15 sec.
19950825,19950826,"Helena","MT",2 min.
19950710,19950710,"Bonanza","OR",60 sec.
19950709,19950711,"Versailles","MO",5 hrs.
19950804,19950804,"Bellevue","WA",10 sec.
19950422,19950426,"Danville","IL",
19720101,19950128,"Seattle","WA",30 sec.
19951006,19951006,"Puyallup","WA",15 min.
19951106,19951105,"Tampa","FL",30 sec.
19950515,19950515,"W. Chicago","IL",15 min.
19950207,19950208,"Tacoma","WA",5-7 sec
19950323,19950324,"Spokane","WA",
19950803,19950804,"Aurora","CO",
19941230,19950109,"Los Angeles","CA",2 min.
19951005,19951011,"Chinley","AZ",4 hrs.
19950317,19950319,"Lockwood","NV",
19950315,19950316,"Jefferson City","MO",
19950105,19950105,"Evart","MI",10 min.
19950913,19950914,"Silverdale","WA",2 sec.
19950105,19950105,"Seattle","WA",5 sec.
19870101,19950518,"Salem","OR",
19950207,19950207,"Shawnee","OK",30 sec
19950430,19950501,"Riverview","FL",
19950216,19950216,"Sacramento","CA",
19950126,19950127,"West South Port","ME",1 min.
19950716,19950716,"Santa Ana","CA",15 min.
19950103,19950103,"Tewksbury","MA",15
19950729,19950729,"Puyallup","WA",1 min.
19950701,19950705,"Ocean Shores","WA",5 min.
19950209,19950424,"Anaheim","CA",
19951117,19951117,"Lower Nazareth","PA",3 min.
19950527,19950527,"Hialeah","FL",
19950209,19950209,"Vancouver","WA",
19950826,19950827,"Inyo Co.","CA",
19950223,19950321,"Lexington","KY",
19950905,19950910,"Mercer Island","WA",
19951105,19951105,"Champaign","IL",5 min.
19950227,19950227,"Harrisonburg","VA",
19940515,19950602,"N. Seattle","WA",
19951010,19951010,"Puerto Rico (Puerto Rico)","PR",
19950928,19950928,"Copley","PA",
19950419,19950420,"Binghamton","NY",5 sec.
19951113,19951112,"Birmingham","AL",2 sec.
19950430,19950505,"San Diego","CA",75 min.
19950821,19950822,"Dowling","MI",35 min.
19950103,19950104,"Marysville","WA",2 min.
19950822,19950823,"Bothell","WA",
19950406,19950406,"Burlington","NJ",30 sec.
19950127,19950127,"Seatac","WA",2 min.
19950209,19950209,"Auburn","ME",
